age,mean.rt,median.rt,pid
24,2.227466,2.227466,CC110033
18,4.1406529999999995,4.1406529999999995,CC110037
24,4.046565,4.046565,CC110045
22,3.290665,3.290665,CC110056
28,3.9827019999999997,3.9827019999999997,CC110069
28,3.5309220000000003,3.5309220000000003,CC110087
23,3.378802,3.378802,CC110098
23,1.7786529999999998,1.7786529999999998,CC110101
22,1.939659,1.939659,CC110126
25,4.433357,4.433357,CC110174
18,4.188264,4.188264,CC110182
25,3.59991,3.59991,CC110187
28,4.00569,4.00569,CC110319
25,2.399147,2.399147,CC110411
20,2.940655,2.940655,CC110606
29,4.191838,4.191838,CC112141
26,3.819568,3.819568,CC120008
28,2.112332,2.112332,CC120049
19,3.3305800000000003,3.3305800000000003,CC120061
25,2.925643,2.925643,CC120065
25,4.104183,4.104183,CC120120
18,3.3701449999999995,3.3701449999999995,CC120137
28,3.731955,3.731955,CC120166
26,3.5031559999999997,3.5031559999999997,CC120182
25,3.927046,3.927046,CC120184
24,1.839853,1.839853,CC120208
20,4.312253,4.312253,CC120212
27,3.3412050000000004,3.3412050000000004,CC120218
28,2.452255,2.452255,CC120264
23,2.593041,2.593041,CC120276
27,2.061545,2.061545,CC120309
28,3.205192,3.205192,CC120313
27,,,CC120319
21,2.863985,2.863985,CC120347
18,4.546101,4.546101,CC120376
18,2.383999,2.383999,CC120409
18,3.31746,3.31746,CC120462
25,5.046022,5.046022,CC120469
28,3.8706709999999998,3.8706709999999998,CC120470
19,4.077656,4.077656,CC120550
26,3.687186,3.687186,CC120640
23,2.0305169999999997,2.0305169999999997,CC120727
27,3.7510529999999997,3.7510529999999997,CC120764
24,4.061969,4.061969,CC120795
28,2.401875,2.401875,CC121106
18,3.4414629999999997,3.4414629999999997,CC121111
26,2.2445310000000003,2.2445310000000003,CC121144
28,2.473233,2.473233,CC121158
26,2.5336939999999997,2.5336939999999997,CC121200
25,2.4207970000000003,2.4207970000000003,CC121317
27,2.619224,2.619224,CC121397
26,3.328129,3.328129,CC121411
26,2.211148,2.211148,CC121428
26,2.840782,2.840782,CC121479
20,4.36989,4.36989,CC121685
25,2.560028,2.560028,CC121795
23,3.45614,3.45614,CC122016
27,2.628532,2.628532,CC122172
27,4.241098,4.241098,CC122405
24,3.6311730000000004,3.6311730000000004,CC122620
31,3.213867,3.213867,CC210023
35,2.959522,2.959522,CC210051
36,1.830141,1.830141,CC210088
35,2.380188,2.380188,CC210124
30,2.037677,2.037677,CC210148
31,3.4132629999999997,3.4132629999999997,CC210172
30,3.7776919999999996,3.7776919999999996,CC210174
31,2.141396,2.141396,CC210182
29,3.059797,3.059797,CC210250
34,4.199631,4.199631,CC210314
34,3.430591,3.430591,CC210422
37,3.192333,3.192333,CC210526
34,2.2096810000000002,2.2096810000000002,CC210617
37,3.625296,3.625296,CC210657
29,2.252889,2.252889,CC212153
32,2.148415,2.148415,CC220098
34,3.954307,3.954307,CC220107
29,3.90628,3.90628,CC220115
31,3.66028,3.66028,CC220132
30,3.9167870000000002,3.9167870000000002,CC220151
37,3.553001,3.553001,CC220198
34,1.3746479999999999,1.3746479999999999,CC220203
33,1.620566,1.620566,CC220223
35,1.9227779999999999,1.9227779999999999,CC220234
34,3.563533,3.563533,CC220284
33,3.3934839999999995,3.3934839999999995,CC220323
34,4.175769,4.175769,CC220335
29,2.793116,2.793116,CC220352
37,2.3706650000000002,2.3706650000000002,CC220372
31,2.229918,2.229918,CC220419
35,3.057051,3.057051,CC220506
32,3.850197,3.850197,CC220511
30,2.178293,2.178293,CC220518
29,3.627795,3.627795,CC220519
28,2.98949,2.98949,CC220526
32,2.200445,2.200445,CC220535
37,3.4374290000000003,3.4374290000000003,CC220567
32,3.5946620000000005,3.5946620000000005,CC220610
36,2.844593,2.844593,CC220635
35,3.4112949999999995,3.4112949999999995,CC220697
33,1.7833189999999999,1.7833189999999999,CC220713
33,4.188276999999999,4.188276999999999,CC220828
37,4.562323999999999,4.562323999999999,CC220843
35,4.948663,4.948663,CC220901
34,2.669248,2.669248,CC220920
37,2.331502,2.331502,CC220974
37,1.606263,1.606263,CC220999
37,2.08557,2.08557,CC221002
38,2.38952,2.38952,CC221031
28,2.058217,2.058217,CC221033
36,3.2971190000000004,3.2971190000000004,CC221040
31,2.0211040000000002,2.0211040000000002,CC221054
35,2.989675,2.989675,CC221107
29,2.027483,2.027483,CC221209
37,,,CC221220
32,3.6347660000000004,3.6347660000000004,CC221244
36,2.5640709999999998,2.5640709999999998,CC221324
34,4.346751,4.346751,CC221336
37,3.5786519999999995,3.5786519999999995,CC221352
29,2.367644,2.367644,CC221373
