age,average.intercept,average.rsquared,average.slope,pid,removed_elecs,sex
24,-24.21885776480792,0.6491363776863678,-0.021060850552049846,CC110033,9,1
18,-24.14590999477337,0.8316244960020052,-0.03272364118012137,CC110037,1,1
24,-24.08950900135033,0.9501891122462609,-0.04426547769233838,CC110045,6,1
22,-24.070299729615506,0.252351677745411,-0.010442777898732875,CC110056,44,1
28,-24.25005360978294,0.87330830895032,-0.03209197433688239,CC110069,9,1
28,-24.230771110346623,0.6692490713109045,-0.01904361942324914,CC110087,12,1
23,-23.741831297654663,0.8354976572495155,-0.03332463893708797,CC110098,3,1
23,-24.151439799323082,0.869820980364807,-0.03335811540085305,CC110101,9,1
22,-24.038866486356582,0.8571760032514206,-0.037511613777674827,CC110126,13,1
25,-24.319675143054006,0.925527140969132,-0.041846555806340835,CC110174,4,1
18,-24.060546598913504,0.9181171558830131,-0.038511086251958516,CC110182,12,1
25,-24.094050160942622,0.8592918686072428,-0.036278907629643496,CC110187,10,1
28,-23.924484345519346,0.9434404065685594,-0.043533498189967136,CC110319,12,1
25,-23.929456892512547,0.8598745334813346,-0.029067732782425686,CC110411,14,1
20,-23.515959571616683,0.9254223247502007,-0.0506840074774474,CC110606,13,1
29,-24.11269129894979,0.5545256524890204,-0.018885035562439034,CC112141,19,1
26,-23.988879448849506,0.5917036714317273,-0.022363710183419695,CC120008,13,1
28,-23.90088152128101,0.8943755104116276,-0.036126698954018654,CC120049,6,1
19,-24.026744788608443,0.8857956911457714,-0.029510366596986127,CC120061,9,1
25,-24.12900296064766,0.9164760702799721,-0.03346801482697708,CC120065,7,1
25,-24.252936563720358,0.8763884687256575,-0.0321745412816997,CC120120,10,1
18,-24.0640633801374,0.8840591453565255,-0.03483221743069643,CC120137,6,1
28,-23.868675319740547,0.8944375739346211,-0.03761338885742762,CC120166,13,1
26,-23.81787132514243,0.8025153320605253,-0.031601627570961396,CC120182,12,1
25,-24.235448318088,0.7546201773208896,-0.02545708857683366,CC120184,2,1
24,-23.96722518510385,0.8742078802791362,-0.035112297617107976,CC120208,9,1
20,-23.984968854261798,0.9206549926713236,-0.037044365154238236,CC120212,0,1
27,-24.36845220100251,0.6439113083215438,-0.019590101333782292,CC120218,24,1
28,-23.607266930088727,0.855594201941129,-0.039566942471878634,CC120264,0,1
23,-24.111215165499562,0.4501060911747006,-0.014687594534903719,CC120276,24,1
27,-24.126571321189036,0.922904585216682,-0.034836803602690605,CC120309,1,1
28,-23.79563634758117,0.9040327546872798,-0.03935038987031972,CC120313,5,1
